2015-07-16 14:37:29,482 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/org/seleniumhq/selenium/selenium-support/2.45.0/selenium-support-2.45.0.pom
2015-07-16 14:37:29,796 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/org/seleniumhq/selenium/selenium-support/2.45.0/selenium-support-2.45.0.pom
2015-07-16 14:37:30,167 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/org/seleniumhq/selenium/selenium-leg-rc/2.45.0/selenium-leg-rc-2.45.0.pom
2015-07-16 14:37:30,533 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/org/seleniumhq/selenium/selenium-leg-rc/2.45.0/selenium-leg-rc-2.45.0.pom
2015-07-16 14:37:30,839 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/org/testng/testng/6.8.21/testng-6.8.21.pom
2015-07-16 14:37:31,154 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/org/testng/testng/6.8.21/testng-6.8.21.pom
2015-07-16 14:37:31,689 [DefaultMetadataResolver-3-0] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/com/intuit/tools/ConfigurationManagement/2.1.1-SNAPSHOT/maven-metadata.xml
2015-07-16 14:37:31,961 [DefaultMetadataResolver-3-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repository-saucelabs.forge.cloudbees.com/release/com/intuit/tools/ConfigurationManagement/2.1.1-SNAPSHOT/maven-metadata.xml
2015-07-16 14:37:31,961 [DefaultMetadataResolver-3-0] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/com/intuit/tools/ConfigurationManagement/2.1.1-SNAPSHOT/maven-metadata.xml
2015-07-16 14:37:32,301 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://ctg-cache-repo.corp.intuit.net/nexus/content/groups/public/com/intuit/tools/ConfigurationManagement/2.1.1-SNAPSHOT/ConfigurationManagement-2.1.1-20150715.070024-177.pom
